combinations	{Bungay2003}	{Bungay2006}	{Bungay2006a}	{Eungdamrong2007}	{Froehlich2018}	{Holzhutter2004}	{Hui2014}	{Lai2014}	{Leber2015}	{Levchenko2000a}	{Liu2011}	{Nakakuki2010}	{ODea2007}	{Ouzounoglou2014}	{Pathak2013}	{Pathak2013a}	{Pritchard2002}	{Proctor2010a}	{Proctor2013a}	{Qi2013a}	{Sasagawa2005}	{Sengupta2015}	{Singh2006}	{Sivakumar2011c}	{Ueda2001}	{Ung2008}	{Yang2007}	{aguda1999_fig5c}	{alexander2010_fig2-user}	{alexander2010_fig2-user-2}	{alsheihk2011_fig3-user}	{alsheihk2011_fig4-user}	{alsheihk2011_fig5-user}	{alsheihk2011_fig6-user}	{alsheihk2011_fig7-user}	{bachar2004_fig1-user}	{bachmann2011}	{bachmann2011_figs9-user}	{balagadde2008_fig2-user}	{band2012_figs19-user}	{becker2010_fig2b-user}	{becker2010_figs4-user}	{beuke2017_fig6}	{bier2000_fig3-user}	{bindschadler2001_fig5b-user}	{borghans1997_fig12a-user}	{borghans1997_fig5-user}	{brands2002_fig2-user}	{bucher2011_fig2-user}	{bungay2003_fig4-user}	{bungay2006_fig3a-user}	{bungay2006_fig3b-user}	{butenas2004_fig1-user}	{chance1943_fig12-user}	{chassagnole2002_fig4-user}	{chassagnole2002_fig5-user}	{delcontezerail2008_fig4-user}	{dupont1992_fig4-user}	{essunger1994_fig2-2}	{essunger1994_fig4}	{essunger1994_fig5}	{essunger1994_fig6-user}	{essunger1994_fig8}	{ferreira2003_fig2f-user}	{fisher2006_fig3a}	{fraser2002_fig1a_1b_2a_2b}	{fuentes2005_fig1a-user}	{fung2005_fig3a}	{gardner1998_fig4b-user}	{goldbeter1991_fig3-user}	{goldbeter2006_fig3a-user}	{gorlich2003_fig4-user}	{hald2012_fig5-user}	{hatakeyama2003_fig5-user}	{hernandezvargas2013}	{ho1995_fig3}	{hockin1999_fig7a-user}	{hockin2002_fig3-user}	{hornberg2005_fig2a-user}	{ihekwaba2004_fig5-user}	{jiang2007_fig2-user}	{karin2017_fig1c}	{karin2017_fig1g}	{karin2017_fig2}	{kholodenko1999_fig4b-user}	{kholodenko2000_fig2a-user}	{kim2011_figs5-user}	{kirschner1998_fig2-user}	{kofahl2004_fig3-user}	{kolodkin2010_figure2b}_89	{kolodkin2010_figure2b}_90	{kolodkin2010_figure2b}_91	{kolodkin2010_figure2b}_92	{kolodkin2010_figure2b}_93	{kolodkin2010_figure2b}_94	{kouril2017_fig1a}	{kouril2017_fig2b}	{kouril2017_fig3b}	{kouril2017_fig4b}	{kouril2017_fig4c}	{kowald2006_fig2-user}	{laub1998_fig3top-user}	{lebeda2008_fig1-user-2}	{lee2010_fig3-user}	{lee2010_figs6-user}	{lee2010_figs9-user}	{leloup1999_fig2a}	{leloup2003_fig2a}	{levchenko2000_fig2-user}	{levchenko2000_fig2-user}	{levering2012_fig2-user}	{levering2012_fig5-user}	{liu2011_fig5a-user}	{lou2009_fig2-user}	{ma2002_fig2-user}	{marhl2000_fig2-user}	{martins2003_fig6-user}	{marwan2003_fig5b-user}	{mcauley2012_fig1b-user}	{mellor2012_fig3a-user}	{miao2008_fig1}	{montanez2008_fig3a-user}	{moriya2011_fig7c-user}	{morris2002_fig1b-user}	{naresh2011_fig11to13-user}	{naresh2011_fig6to7-user}	{naresh2011_fig8to10-user}	{neves2008_figs1-user}	{nyman2012_fig5-user}	{odea2007_fig3-user}	{orfao2008_fig2-user}	{ouattara2008_fig3}	{panteleev2002_fig1-user}	{panteleev2002_fig2a-user}	{panteleev2002_fig3a-user}	{perelson1993_fig11-user}	{perelson1993_fig2and3-user}	{perelson1996_fig1b_top}	{piedrafita2010_fig2-user}	{ribeiro2008_fig4-user}	{saeidi2012_fig4a-user}	{sarma2012_fig3c-user}	{sarma2012_fig3f-user}	{sarma2012_fig5a-user}	{sarma2012_fig5atod-user}	{sarma2012_fig5b-user}	{sarma2012_fig5c-user}	{sarma2012_fig5d-user}	{schilling2009_fig1b-user}	{teusink1998_fig3candd-user}	{tiago2010_fig2_fe_adequate-user}	{tiago2010_fig2_fe_deficient}	{tiago2010_fig2_fe_loaded-user}	{tiago2010_fig3_fe_adequate-user}	{tiago2010_fig3_fe_deficient}	{tiago2010_fig3_fe_loaded-user}	{tripathi2007_fig7_10to7_11-user}	{tripathi2007_fig7_4-user}	{tripathi2007_fig7_5to7_7-user}	{tripathi2007_fig7_8to7_9-user}	{valero2006_fig1aandb}	{vanheerden2014_fig4-user}	{wang2012_fig1and2-user}	{xie2007_fig3-user}	{zhao2013_fig3a-user}	{zi2007_fig2d-user}
2_6_10_14	135.6115	97.0105	54.529	1681.2745	591.4175	15.6935	9.3855	26.9825	53.3065	26.4585	109.626	0	3.0735	26.9775	5.4735	4.767	14.161	0	576.772	0	107.2085	40.2995	0	10.4285	5.6395	415.043	1560.5665	9.4425	7.4375	7.525	5.2015	5.2235	4.9615	5.0045	5.059	3.61	16.0095	20.087	8.755	1.3795	3.2555	1.32	2227.9734999998	16.693	30.69	49.052	41.0355	1.6285	18.0505	87.86	55.7395	101.39	6.9755	1.7225	205.795	204.7945	6.0595	15.891	4.838	10.462	9.669	20.2035	9.809	1.858	3.331	11.064	1.225	15.6915	5.9605	5.7835	6.75	4.4355	160.0805	234.875	14.778	1.1235	4.019	5.84675	2.354	12.376	218.676	1.749	2.478	17.7265	7.7985	24.16	26.6195	3.555	70.679	1.907	2.824	4.57	3.715	3.961	5.0605	1.382	1.246	2.316	2.802	4.477	3.14	6.2445	1.5475	5.4585	4.174	1.3475	10.657	19.003	4.2285	610.6564999997	99.872	162.725	110.2521666667	1.74	4.944	22.257	2.3205	5.605	57.8614166667	1.3974	6.198	2.6835	110.998	1.197	4.23	3.18175	3.344	22.2975	4.968	6.9905	2.9785	7.46	7.2897	5.2845	7.2195	7.226	5.1	5.815	6.30075	1.21	2.7036666667	34.253	41.4505	49.4061666667	72.195	44.5765	5.6545	11.2555	12.332	2.7385	4.5275	4.2755	3.9195	4.551	4.3025	3.9835	3.645	3.591	4.9975	3.3075	3.251	3.327	68.26	32.3325	6.883	8.8365
2_6_12_10	135.1605	84.1755	46.4715	998.386	0	20.9845	6.7615	67.182	35.4305	33.1545	92.7205	0	4.093	20.8805	5.401	4.5165	15.079	0	413.1355	0	114.726	29.218	0	13.461	6.7125	346.511	1094.191	9.903	2.6525	2.8545	2.5175	2.5175	4.0135	2.8535	4.055	2.2995	11.793	12.8495	9.8015	1.491	3.8355	1.3305	2133.3280000002	15.2805	32.5615	77.3975	50.33	4.1185	6.9905	80.507	46.574	86.491	7.1735	1.866	228.2675	226.9935	6.1055	17.473	5.767	6.0975	5.681	7.3705	6.584	2.1085	3.8905	4.6395	1.2335	17.5435	7.2255	9.85	8.185	7.9365	176.86825	239.4885	6.2675	1.1155	4.654	6.90625	2.494	17.2875	341.138	1.7595	4.8265	12.453	6.888	18.187	30.939	2.804	71.538	2.137	3.132	4.9195	4.3545	5.059	5.3445	1.5435	1.2535	2.853	3.003	4.6825	4.0765	5.8245	1.8045	7.6365	5.063	1.3815	13.232	23.5505	9.1628571429	6.8005	102.7075	167.397	89.6115	1.291	3.9905	25.899	2.918	4.4615	27.0974166667	3.2424	1.4705	3.5255	137.78	1.3225	1.7775	1.789	1.913	18.925	5.1015	7.522	3.564	2.3075	5.43195	5.6855	7.7585	4.4555	5.9285	2.2175	6.61325	1.234	3.2468333333	25.424	30.244	46.28	52.10525	37.7125	4.7995	11.3475	13.428	2.54	3.76	4.11	3.876	3.6955	4.096	4.875	2.031	1.7675	2.0905	3.429	3.4745	3.59	33.9635	36.32	1.8455	7.198
2_6_16_08	108.9045	71.608	43.433	1085.964	326.93	15.637	4.042	87.04	30.48	28.49	103.5335	0	3.7345	13.9515	3.353	2.9755	10.47	0	371.753	0	112.168	24.1675	0	11.867	4.171	469.9065	1397.329	5.201	1.911	1.8175	1.794	1.7895	2.3725	1.9125	2.3865	1.842	8.078	8.6845	4.36	1.1635	1.6845	3.5165	1792.4154999999	9.07	17.4815	43.3845	28.06	1.5705	5.144	67.345	43.2145	71.622	11.8245	1.4165	126.3045	126.3815	3.9875	9.205	3.015	4.5245	4.755	5.15	4.8135	2.524	3.4345	3.4185	1.2805	11.5635	4.394	6.4875	4.827	4.08	127.58625	141.306	4.3645	1.1135	6.513	9.2971666667	2.115	12.9425	348.593	1.6655	2.0625	12.652	4.751	10.7045	18.238	2.2375	57.7765	1.979	3.002	3.7585	3.294	3.482	3.8835	1.25	1.2265	2.22	3.1865	3.9975	4.6325	2.242	1.456	6.075	4.2925	1.374	5.9755	13.785	6.8005	3775.3760000001	75.3575	185.9995	104.1063333333	1.263	1.537	14.8595	2.0735	2.3275	16.5364166667	1.6764	1.283	2.078	101.254	1.483	1.366	1.40075	1.3395	11.3375	4.1995	7.0665	5.359	1.68	4.20495	3.991	4.265	3.431	3.043375	1.3255	4.92925	1.218	4.6091666667	16.2825	17.697	32.3045	29.339	28.8975	4.3155	8.842	9.921	1.878	2.682	2.6765	2.745	2.6735	2.6705	2.776	1.471	1.531	1.374	1.443	2.5545	2.3475	18.339	23.8255	1.6905	4.7935
2_7_08_06	51.2325	36.047	17.5765	573.6465	111.6095	11.4095	2.843	14.6055	16.3545	16.914	46.6655	0	2.6635	15.436	3.7025	3.256	24.155	0	189.2505	0	49.543	12.0505	3849.5875	5.535	2.7915	256.415	111.9785	4.8995	1.553	1.688	1.49	1.513	3.114	1.5145	3.1475	1.363	7.4585	7.6595	2.038	1.14	1.424	1.2655	348.5789999998	5.743	6.1185	26.35	20.3825	1.5565	5.9515	28.777	17.41	32.247	5.939	3.3765	114.771	115.545	3.306	6.213	2.401	2.606	2.607	4.206	2.616	1.7415	2.559	2.1115	1.2165	6.3165	2.029	3.072	2.7795	3.062	147.282	176.1295	3.117	1.1125	3.9825	6.3225	3.485	9.5735	156.484	1.221	5.621	9.2685	6.067	6.6575	11.723	1.9245	35.645	1.767	2.674	3.1385	2.852	2.9555	3.057	1.162	1.2425	2.042	2.5045	3.226	5.646	1.365	1.3435	4.927	3.8315	1.253	2.971	6.0905	11.3299285714	8.515	90.6775	84.126	48.0281666667	1.267	1.355	10.109	1.653	6.241	15.1131666667	1.376	1.2595	1.4065	60.815	1.0565	1.271	1.31525	1.35	7.6905	3.6545	5.105	2.53	1.329	3.01735	3.011	3.147	2.202	2.388625	2.758	3.78075	1.1815	2.7105	9.894	12.022	19.4308333333	19.471	14.3825	3.909	7.672	10.1865	1.595	2.019	2.191	2.092	2.0145	2.216	2.114	1.278	1.3465	1.3775	1.293	1.961	1.906	10.827	11.742	1.66	3.5905
2_7_10_14	128.0665	113.2065	60.6945	1666.1205	215.4895	22.037	10.0345	32.2345	51.822	38.917	103.5345	0	5.177	48.72	10.284	8.7765	24.8675	0	465.9235	0	80.5395	41.4345	0	11.072	7.887	503.044	704.9805	7.981	7.641	7.773	5.765	5.7875	5.3715	5.7435	5.289	3.55	25.469	24.265	9.29	1.337	3.4075	1.274	1643.3425	17.0995	46.3895	59.0435	57.2555	1.622	20.5705	97.941	60.2965	119.421	6.3195	1.605	269.4695	268.075	6.0765	22.794	4.1185	7.1525	8.516	25.427	10.676	1.954	6.0505	13.2395	1.212	16.851	6.4375	6.1315	7.234	4.6745	228.852	425.6165	15.7565	1.138	3.8975	6.9663333333	2.4515	12.1715	268.8425	3.515	3.6225	22.044	7.348	27.036	32.494	3.9285	70.479	1.99	3.196	5.02	4.1495	4.752	6.3805	1.359	1.2825	2.153	2.9195	4.289	6.633	6.513	1.596	6.509	5.144	1.311	12.0895	25.743	8.515	3762.8204999999	185.0925	179.682	109.5111666667	1.788	5.363	29.525	2.378	6.3125	64.6650833333	1.4169	6.764	3.7165	120.683	1.184	4.872	4.082	3.259	22.0625	6.8675	6.5175	2.984	7.9145	6.23665	5.6385	5.4135	6.703	4.609375	5.7435	6.2755	1.2035	3.024	38.9595	45.349	47.0068333333	78.40375	43.837	6.215	14.7745	12.494	5.4565	4.595	4.645	4.9495	4.6155	4.717	4.937	4.087	3.865	4.318	3.709	3.0985	3.3405	76.391	41.301	8.791	7.2765
2_7_12_10	118.852	79.093	40.854	1174.902	236.051	27.328	8.3075	65.3965	32.8075	47.7060000001	101.006	0	7.1485	28.323	5.791	5.6655	23.9465	0	374.6855	0	97.0105	33.275	0	14.1965	8.973	474.339	363.133	10.301	2.5725	2.5645	2.7135	2.648	4.1585	2.883	4.1685	2.446	13.9935	14.2255	8.281	1.526	2.0965	1.334	1401.0125	16.1385	49.092	94.4915	70.0535	1.8065	8.5245	80.0395	41.5425	78.779	7.9425	1.9645	269.9845	273.0535	6.7245	23.6885	2.764	5.913	5.877	7.6065	6.9945	2.235	3.9395	5.168	1.2215	19.212	7.7435	10.2905	8.1275	4.8935	245.5115	366.337	7.8125	1.1105	4.876	7.46475	2.7435	20.0375	418.2865	1.7335	3.1185	19.0125	6.58	20.531	40.243	2.983	68.043	2.219	3.5825	5.2925	4.234	4.177	5.0005	1.5805	1.268	2.753	3.0695	4.619	22.452	5.941	2.0145	8.214	5.188	1.376	15.1295	31.3265	9.2076428571	6.931	185.9595	192.0965	99.819	1.324	4.6705	34.1585	3.006	4.661	25.1816666667	1.5401	1.4665	2.0375	159.875	1.27	1.7255	1.7565	1.763	17.665	5.694	8.0735	3.4655	2.3415	5.73075	6.167	5.802	4.168	5.39775	3.438	6.6545	1.227	3.541	28.527	33.333	38.9488333333	58.517	33.695	5.53	14.409	16.194	2.64	3.9235	4.1375	4.0195	3.8835	4.1155	4.029	1.8565	1.794	1.9525	1.788	2.8925	3.2545	35.905	45.8495	2.0345	8.3615
2_7_16_08	103.837	66.072	37.642	1253.3565	390.7345	23.7155	5.1015	57.6655	28.052	48.4955	100.246	0	5.748	25.0105	5.6925	4.6395	30.5675	0	410.922	0	86.476	23.3685	0	11.573	4.9835	530.2195	414.4835	5.709	2.002	2.1655	1.92	1.9205	2.4945	1.9335	2.421	1.8175	11.5645	10.9905	4.9835	1.1565	1.5905	1.365	834.2315	9.5365	27.8465	53.7415	36.786	1.658	5.929	64.4515	38.5525	68.2735	13.82	1.532	146.6345000001	146.1325	6.06	12.5185	3.3875	5.4265	3.2635	5.0945	4.357	2.8885	3.435	3.7055	1.2715	13.356	4.416	7.425	4.785	4.0055	248.24125	258.1625	4.165	1.1165	6.892	9.6710833333	2.1995	10.3515	453.3795	1.2755	1.6235	11.684	4.759	11.628	22.135	2.2865	63.973	2.083	3.1295	4.2965	3.9395	3.767	4.0385	1.2935	1.246	2.4515	3.396	4.3375	48.3945	2.423	1.4335	7.495	4.965	1.3505	7.5555	16.891	6.931	1927.2125	166.3795	179.0885	98.3658333333	1.332	3.883	19.473	2.1565	2.541	19.6415833333	1.8139	1.2715	1.5735	114.169	1.572	1.447	1.4745	1.4	11.844	4.604	7.3445	4.1315	1.636	4.34525	7.023	4.35	3.694	3.55025	1.2935	5.4305	1.25	5.4103333333	18.539	20.9405	29.6626666667	33.67075	21.2345	4.779	11.806	10.8505	2.002	2.894	2.8125	2.7575	2.903	2.836	2.76	1.4675	1.6135	1.511	1.534	4.0065	2.4215	19.0025	25.8945	1.743	4.858
2_8_08_06	176.568	85.342	46.14	934.771	0	22.599	4.161	31.759	55.046	30.0015	106.929	0	4.844	29.743	4.5935	3.1785	43.7795	0	853.0035	0	140.1325	20.2085	0	14.2785	3.847	1499.441	456.4585	5.1605	1.544	1.699	1.546	1.5795	1.8265	1.57	1.8345	1.4915	13.384	13.1965	2.1005	1.1675	1.4315	1.2665	1247.5299999996	6.014	6.1915	32.348	24.2925	1.5365	6.8065	71.573	54.2455	86.646	10.6125	1.306	257.0655	255.9945	6.787	7.6555	2.788	3.6965	3.595	5.4965	3.556	1.845	2.7235	2.50925	1.2075	8.722	2.0045	3.8695	2.964	4.19	479.00725	594.067	4.377	1.133	6.171	10.6381666667	1.6925	8.883	315.923	1.1945	1.3995	16.327	3.8695	7.7535	14.778	2.168	98.207	1.9075	3.752	4.6745	3.9	4.456	4.8475	3.2655	1.2355	2.175	3.2545	5.424	11.3975	1.422	1.336	10.0725	6.825	1.256	3.7805	7.2445	2.7552142857	2.293	245.246	224.206	110.9891666667	1.297	1.358	11.895	1.7195	1.775	40.0903333333	1.3848	1.296	1.469	125.127	1.0685	1.2885	1.70725	1.753	14.6855	6.0845	8.5655	3.6285	1.827	4.94955	4.37	4.672	3.0875	3.120875	1.315	6.44875	1.189	3.9075	15.0975	17.515	63.1648333333	29.429375	40.5685	5.9805	12.07	10.3795	1.646	2.249	2.172	2.1195	2.2065	2.15	2.127	1.305	1.324	1.335	1.3305	2.506	2.176	12.961	20.0815	1.657	6.168
2_8_10_14	334.4445	223.7255	128.7615	5735.383	0	45.9505	17.6915	63.579	153.459	42.582	288.0525	0	8.8615	53.7135	9.1805	7.696	68.6885	0	1445.127	0	268.057	67.6945	0	22.9735	8.6335	1977.833	6350.2155	12.6535	8.832	8.643	6.105	6.162	6.18	6.1165	6.2365	3.7835	40.5155	40.457	9.7385	1.397	3.601	1.285	6485.1485000005	18.181	47.595	68.115	62.529	1.679	26.283	194.914	122.8995	238.3195	12.0995	1.7255	583.427	583.6625	8.825	22.876	6.2955	12.767	11.708	20.1215	12.7385	1.978	3.914	13.54025	1.217	26.8265	7.0155	8.033	8.225	7.4255	577.94375	1999.9239999999	20.3635	1.139	6.7535	13.16475	2.751	19.5455	496.496	1.78	6.229	36.267	11.0085	28.874	37.0275	4.5445	166.487	2.122	4.5985	8.3755	5.9915	7.7395	8.264	1.372	1.2765	2.6495	4.342	7.9445	17.1995	7.1525	1.606	12.029	8.712	1.3495	14.029	27.753	2.293	31.5265	478.548	526.3265	275.8188333333	1.6155	5.3335	31.088	2.508	5.852	150.7585	1.4324	7.27	3.1625	251.1355	1.1935	4.2615	3.419	3.335	35.284	10.4685	12.0475	4.5775	8.1295	8.76705	8.7725	9.222	8.791	6.051	6.013	10.5775	1.1955	4.4158333333	52.237	66.2985	127.2423333333	118.702625	113.0115	9.5745	23.0365	19.7335	3.0215	4.5215	4.8195	4.572	4.4655	4.8505	4.555	3.84	3.7215	4.5755	3.7385	3.9705	4.271	81.2515	68.8255	13.919	12.2445
2_8_12_10	319.2695	165.7655	84.942	2517.671	0	57.691	13.0055	207.567	115.7905	52.8345	238.8425	0	12.0835	41.9815	9.204	7.6435	71.4215	0	1262.4655	0	287.3715	51.267	0	25.271	10.16	1573.4285	3031.289	13.0575	3.069	2.806	3.086	3.139	4.5025	3.1575	4.4985	2.6745	24.5175	24.1605	8.866	1.567	2.1655	1.33	4578.5610000005	16.8705	52.2795	105.2395	74.9965	1.778	11.7455	160.7875	97.7765	160.368	14.6325	1.948	541.365	536.972	9.348	25.6295	3.8885	8.0265	7.628	11.106	8.9715	2.3065	5.295	5.79475	1.232	28.9955	8.398	11.8785	9.3995	8.2535	652.95925	1485.8945	8.84	1.1385	8.1295	15.3955833333	3.0485	25.7735	743.305	3.434	3.466	30.058	9.8605	21.498	43.8145	3.399	175.096	2.412	5.573	8.9515	6.184	9.146	8.7205	1.584	1.264	3.4585	6.7895	7.996	64.6435	6.7225	1.9635	13.8065	15.7395	1.339	17.26	33.085	3.6497857143	3.238	474.218	487.335	232.4956666667	1.324	4.2555	35.573	3.2125	5.04	68.3196666667	1.9078	1.55	2.0065	319.29	1.297	1.8425	1.85	1.81	30.0665	9.88	13.247	5.465	2.7105	8.85175	9.638	9.737	6.5225	4.120375	2.4425	11.13575	1.2195	5.1936666667	38.022	48.6965	114.5195	86.46325	87.672	9.9905	23.852	21.9145	2.8365	5.8995	4.34	3.843	5.893	4.273	3.851	1.974	1.8335	2.053	1.849	4.2915	4.4555	39.2065	70.5265	1.9915	9.627
2_8_16_08	263.7305	147.0375	86.0105	3243.337	0	46.008	7.3245	439.622	107.9015	46.3335	275.575	0	11.141	41.8295	6.6165	6.8465	67.4765	0	1157.9065	0	265.3035	42.0985	0	23.578	5.8555	1725.6965	3556.062	7.7795	2.2105	2.068	2.166	2.156	2.6895	2.1035	2.6975	1.9845	18.8115	18.9445	5.22	1.168	1.696	3.795	4920.8875000005	10.1635	28.742	61.58	42.6535	1.6505	9.1835	158.2985	96.41	159.106	23.981	1.4835	335.861	334.8505	6.1745	13.219	3.403	6.33	6.115	7.3185	5.918	2.906	3.962	3.858	1.3045	19.5795	4.912	7.786	5.639	5.939	753.6185	889.5555	6.295	1.121	11.5695	20.3541666667	4.031	18.879	762.006	1.271	1.7995	24.211	5.609	12.8405	26.141	3.2835	152.2585	2.1885	4.4385	6.1805	5.051	5.707	6.7265	1.295	1.2355	2.7395	4.802	6.854	257.6085000001	2.509	1.4855	12.0715	8.4195	1.369	8.322	19.0825	3.238	209.1655	482.3485	641.4665	288.2733333333	1.2905	1.564	21.5965	2.173	2.6645	47.4784166667	1.8676	1.273	1.572	229.2085	1.4905	1.53	1.38825	1.6095	20.1525	7.7345	12.697	4.576	1.7445	6.59245	9.4695	6.5735	4.1	4.137125	1.2975	10.36425	1.203	7.5491666667	25.5545	30.1295	86.6885	50.255625	65.479	7.701	18.152	18.086	2.109	2.755	3.0085	2.9295	2.746	2.987	2.9115	1.5325	1.4725	1.489	1.532	3.2375	3.046	21.4275	47.834	1.754	7.1505
2_9_08_06	11.3155	13.1505	22.882	7.696	103.283	1.098	2.7365	4.376	3.195	10.267	7.0785	0	0.695	4.155	0.935	0.9995	1.497	30.7465	19.0135	30.92	8.7765	11.969	17.184	1.768	1.0195	19.8905	3.385	2.6325	1.6215	1.6755	1.5925	1.572	3.558	1.6045	3.551	1.4945	3.224	3.1305	1.681	1.218	1.5945	1.4675	5.064	4.7615	2.6545	12.9055	8.1355	1.7645	2.4795	11.275	5.4295	12.215	0	1.9275	11.26	9.049	1.8575	3.0495	1.66	1.7155	1.666	2.1105	1.6825	1.9935	2.296	2.3995	1.418	5.1795	1.7995	2.5505	2.1445	2.001	19.055	6.2625	2.108	1.209	2.496	2.8800833333	4.312	3.725	61.45	1.3125	1.501	2.5055	2.6715	5.201	5.2815	1.4455	8.302	1.269	1.577	1.903	1.575	1.671	1.8605	1.386	1.3685	1.621	4.7325	1.979	1.4725	1.6005	1.449	2.1485	1.849	1.3695	2.472	3.658	4.8649285714	4.1215	6.1485	7.389	6.4381666667	1.4955	1.555	4.982	1.931	2.104	3.9575833333	1.6085	1.443	1.492	23.041	1.2255	1.4815	1.50425	1.495	4.152	1.963	2.866	1.961	1.4625	1.87245	4.411	2.0145	1.5545	1.52775	1.436	2.111	1.3205	1.6481666667	6.254	9.511	4.6805	14.366125	3.6465	1.8505	6.068	5.137	1.6895	2.1895	2.2685	2.2515	2.1915	2.26	2.25	1.449	1.4525	1.488	1.489	1.5735	1.715	7.8985	6.588	1.812	2.4015
2_9_10_14	29.603	51.202	18.609	31.766	154.5655	2.324	7.3935	9.856	14.9355	13.94	24.2685	0	1.043	12.2165	2.5995	2.5055	3.4145	120.828	55.741	121.6115	12.613	33.972	68.4185	3.7715	2.387	51.857	8.571	5.7725	5.7025	6.046	4.5225	4.486	4.262	4.316	4.279	3.2025	9.7545	8.77	6.0825	1.286	3.1815	1.5085	8.4845	11.6405	11.614	24.8135	17.768	1.7885	8.65	32.3345	17.8495	45.5075	3.071	1.8595	21.6985	21.7425	2.9485	7.8925	3.1065	5.466	4.4805	6.1305	5.875	2.1045	2.729	11.51	1.4175	10.426	4.809	4.9585	5.614	2.7505	37.7895	17.807	8.2825	1.2185	2.766	2.8726666667	2.0655	7.0335	90.211	2.823	2.2515	4.763	4.89	16.3445	13.435	2.877	20.416	1.5545	1.6435	2.4235	2.094	2.2035	2.6005	1.5725	1.418	1.876	1.9405	5.491	1.5795	5.242	1.669	2.1545	2.499	1.411	7.039	12.288	4.1215	198.4125	12.831	16.678	23.2761666667	1.6205	4.1495	11.5695	2.4135	4.325	14.5080833333	1.6571	5.847	2.7985	45.103	1.375	3.0985	3.178	2.995	12.3915	3.027	8.214	2.034	6.042	2.5669	2.7945	3.027	3.568	2.71275	4.5535	3.33975	1.328	1.7983333333	19.994	24.3825	13.4128333333	38.450375	9.81	2.839	5.1365	10.2565	2.3575	3.859	3.671	3.31	3.8655	3.731	3.3575	3.292	4.322	3.907	3.3155	2.1175	2.5275	44.1435	16.228	3.181	4.2805
2_9_12_10	45.93	43.6645	16.6155	19.2385	194.8635	3.39	6.3415	22.2395	8.6865	17.684	21.0755	0	1.6435	9.49	2.557	2.327	4.0895	94.7055	52.803	95.6545	15.423	26.006	53.3795	6.1835	2.745	72.002	8.0255	6.5555	2.179	2.1505	2.3105	2.3115	3.525	2.2845	3.539	2.413	5.716	5.4295	5.2055	1.252	2.2415	1.518	8.141	11.1545	12.4035	38.445	21.6535	1.9395	3.801	45.6725	17.1535	43.3245	4.1695	1.875	19.699	19.67	3.165	10.212	1.8075	3.3375	2.882	5.531	4.604	2.2935	3.032	5.227	1.423	11.428	5.9385	6.8835	6.302	4.1445	40.515	14.1645	4.1405	1.207	2.9125	2.95875	2.431	13.872	126.6565	1.6345	1.761	4.031	4.912	12.897	16.2965	2.1425	21.61	1.592	1.8475	2.7845	2.3235	2.2415	2.6915	1.62	1.386	2.105	2.0615	2.4215	1.756	5.1035	1.986	3.6135	2.3155	1.464	8.2245	13.917	4.0221428571	3.3005	16.8835	20.09	20.9895	1.565	1.83	13.9155	2.69	4.09	5.2526666667	1.7292	1.4535	1.8735	53.988	1.456	1.9985	1.92475	2.027	8.7815	2.8585	3.8035	2.3225	2.064	2.8861	3.744	3.3765	2.665	1.705125	1.4375	6.22675	1.33	2.1095	15.5215	19.1135	9.6185	31.031	10.7355	2.496	5.4195	12.2295	2.3405	3.3945	3.5985	3.056	3.379	3.572	3.0445	1.8895	1.88	1.8765	1.7425	2.035	2.5765	22.205	19.1225	2.0285	6.3775
2_9_16_08	27.25	37.405	14.403	14.588	201.966	2.4885	5.6635	19.6845	7.0555	59.2485	16.653	0	1.4115	6.9955	1.4175	1.4615	2.9965	79.8495	40.147	79.5145	14.1735	20.707	32.1525	4.6025	1.6155	49.773	7.3475	3.896	1.7755	1.841	1.795	1.7775	1.9455	1.737	1.947	1.94	10.051	3.989	3.414	1.2325	1.979	1.5605	12.699	7.1815	6.9	23.271	13.556	1.896	6.039	28.3405	12.6355	35.4885	5.845	1.571	12.1945	12.1615	2.334	4.7755	1.992	4.498	2.397	3.0175	1.9425	2.478	2.6915	4.524	1.4435	8.585	3.652	5.1465	3.9495	5.608	31.9885	10.6625	4.04	1.216	3.3925	3.0841666667	2.23	10.179	128.0755	1.3925	1.6225	2.5705	3.591	8.3105	9.399	1.958	14.6095	1.4375	1.7975	5.06	2.0075	1.9535	2.0485	1.4295	1.351	1.9055	2.045	2.2805	2.0615	1.767	1.477	2.628	4.8385	1.4415	3.877	8.126	3.3005	91.3315	11.881	11.677	16.4841666667	1.5055	1.7365	8.8905	2.1885	2.5195	4.1146666667	1.9331	1.441	1.5835	39.4625	1.591	1.563	1.5675	3.4555	6.2425	2.2645	3.58	2.344	1.4925	2.3406	2.6975	2.55	2.2625	3.431	1.4065	5.727	1.32	2.5575	10.951	13.3595	6.8661666667	21.121875	5.7425	2.2855	4.546	8.5775	1.9505	2.683	2.665	2.697	2.6985	2.6625	2.704	1.685	1.5435	1.612	1.564	3.605	2.114	12.4135	14.2885	1.84	2.987
