observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
DHAP		condition1	0.0207407407	0		sigma_DHAP	log10	normal
DHAP		condition1	0.0923809524	10		sigma_DHAP	log10	normal
DHAP		condition1	0.1573015873	20		sigma_DHAP	log10	normal
DHAP		condition1	0.1958730159	40		sigma_DHAP	log10	normal
DHAP		condition1	0.1883597884	60		sigma_DHAP	log10	normal
DHAP		condition1	0.1447089947	80		sigma_DHAP	log10	normal
DHAP		condition1	0.0378835979	120		sigma_DHAP	log10	normal
DHAP		condition1	0.0114285714	160		sigma_DHAP	log10	normal
DHAP		condition1	0.0064550265	200		sigma_DHAP	log10	normal
F6P		condition1	0.0871212121	0		sigma_F6P	log10	normal
F6P		condition1	0.1474282297	10		sigma_F6P	log10	normal
F6P		condition1	0.2058745348	20		sigma_F6P	log10	normal
F6P		condition1	0.3155236576	40		sigma_F6P	log10	normal
F6P		condition1	0.4210526316	60		sigma_F6P	log10	normal
F6P		condition1	0.4871743753	80		sigma_F6P	log10	normal
F6P		condition1	0.5188729399	120		sigma_F6P	log10	normal
F6P		condition1	0.5466507177	160		sigma_F6P	log10	normal
F6P		condition1	0.5401382243	200		sigma_F6P	log10	normal
GAP		condition1	0.0901587302	0		sigma_GAP	log10	normal
GAP		condition1	0.1160846561	10		sigma_GAP	log10	normal
GAP		condition1	0.1576719577	20		sigma_GAP	log10	normal
GAP		condition1	0.1337619048	40		sigma_GAP	log10	normal
GAP		condition1	0.0993650794	60		sigma_GAP	log10	normal
GAP		condition1	0.0613227513	80		sigma_GAP	log10	normal
GAP		condition1	0.0084126984	120		sigma_GAP	log10	normal
GAP		condition1	0.0020634921	160		sigma_GAP	log10	normal
GAP		condition1	0.0125925926	200		sigma_GAP	log10	normal
3PG		condition1	1.7850529101	0		sigma_3PG	log10	normal
3PG		condition1	1.3055555556	10		sigma_3PG	log10	normal
3PG		condition1	1.0462962963	20		sigma_3PG	log10	normal
3PG		condition1	0.4603174603	40		sigma_3PG	log10	normal
3PG		condition1	0.2255291005	60		sigma_3PG	log10	normal
3PG		condition1	0.0436507937	80		sigma_3PG	log10	normal
3PG		condition1	0.0152116402	120		sigma_3PG	log10	normal
3PG		condition1	0.0027777778	160		sigma_3PG	log10	normal
3PG		condition1	0.073478836	200		sigma_3PG	log10	normal
